City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
131,Tessalit,ML,2022-04-01 01:26:12,20.1986,1.0114,Clouds,80.19,13,100,6.91
132,Rawson,AR,2022-04-01 01:26:13,-43.3002,-65.1023,Clouds,61.07,51,100,9.48
133,Yellowknife,CA,2022-04-01 01:26:13,62.456,-114.3525,Clouds,11.41,73,75,17.27
134,Nago,JP,2022-04-01 01:26:13,26.5881,127.9761,Clouds,66.63,81,100,16.13
135,Thompson,CA,2022-04-01 01:26:13,55.7435,-97.8558,Clouds,37.56,35,100,4.61
136,Penzance,GB,2022-04-01 01:26:14,50.1186,-5.5371,Clear,39.88,62,7,19.69
137,Alekseyevsk,RU,2022-04-01 01:26:14,57.8406,108.3492,Snow,34.21,97,100,12.91
138,Ornskoldsvik,SE,2022-04-01 01:26:14,63.2909,18.7153,Clouds,16.75,92,34,4.61
139,Port Alfred,ZA,2022-04-01 01:26:14,-33.5906,26.891,Clouds,63.18,95,100,4.0
140,Salalah,OM,2022-04-01 01:27:15,17.0151,54.0924,Clear,75.29,35,0,2.3
141,Tiksi,RU,2022-04-01 01:27:15,71.6872,128.8694,Snow,11.43,91,100,6.8
142,Cape Town,ZA,2022-04-01 01:24:20,-33.9258,18.4232,Clouds,62.11,72,20,19.57
143,San Policarpo,PH,2022-04-01 01:27:15,12.1791,125.5072,Clouds,81.73,82,98,11.88
144,Yumen,CN,2022-04-01 01:27:16,40.2833,97.2,Clear,38.41,19,0,9.06
145,Oranjemund,NA,2022-04-01 01:27:16,-28.55,16.4333,Clouds,58.15,92,12,13.24
146,Lukang,TW,2022-04-01 01:27:16,24.0567,120.4352,Clear,69.06,64,3,26.24
147,Whitecourt,CA,2022-04-01 01:27:16,54.1502,-115.6855,Clouds,42.04,45,75,17.27
148,Beipiao,CN,2022-04-01 01:27:17,41.7919,120.7792,Clear,41.16,21,5,3.98
149,Adre,TD,2022-04-01 01:27:17,13.4667,22.2,Clear,75.18,8,5,14.07
150,Sochi,RU,2022-04-01 01:24:55,43.6,39.7303,Clouds,55.49,63,100,9.46
151,Langsa,ID,2022-04-01 01:27:17,4.4683,97.9683,Clouds,78.21,82,91,1.16
152,Malang,ID,2022-04-01 01:27:17,-7.9797,112.6304,Clear,78.39,77,8,0.83
153,Rongcheng,CN,2022-04-01 01:27:18,30.634,117.8517,Clouds,47.64,63,100,6.44
154,Samarai,PG,2022-04-01 01:27:18,-10.6167,150.6667,Clouds,83.14,74,100,10.98
155,Agadez,NE,2022-04-01 01:27:18,19.75,10.25,Clear,74.89,4,0,7.9
156,Braganca,BR,2022-04-01 01:27:19,-1.0536,-46.7656,Clouds,72.72,99,100,1.68
157,Englewood,US,2022-04-01 01:24:17,39.6478,-104.9878,Clouds,58.77,25,75,9.22
158,Pundaguitan,PH,2022-04-01 01:27:19,6.3711,126.1689,Clouds,81.57,76,79,4.56
159,Port Hardy,CA,2022-04-01 01:27:19,50.6996,-127.4199,Clouds,46.58,81,40,5.75
160,Hun,LY,2022-04-01 01:27:19,29.1268,15.9477,Clouds,73.0,21,100,11.03
161,Puerto Escondido,MX,2022-04-01 01:27:20,15.85,-97.0667,Clouds,79.63,73,40,0.0
162,Lebu,CL,2022-04-01 01:27:20,-37.6167,-73.65,Clouds,53.92,79,100,20.24
163,Prado,BR,2022-04-01 01:27:20,-17.3411,-39.2208,Clear,77.43,84,1,6.82
164,Takoradi,GH,2022-04-01 01:27:21,4.8845,-1.7554,Clouds,79.65,84,23,6.76
165,Khandyga,RU,2022-04-01 01:27:21,62.6667,135.6,Clouds,6.76,91,100,0.65
166,Lukovetskiy,RU,2022-04-01 01:27:21,64.2956,41.9211,Clouds,11.55,97,100,4.97
167,Tramagal,PT,2022-04-01 01:27:21,39.45,-8.25,Clouds,51.96,88,98,10.16
168,Progreso,MX,2022-04-01 01:27:22,21.2833,-89.6667,Clear,84.31,86,5,12.15
169,Souillac,MU,2022-04-01 01:27:22,-20.5167,57.5167,Rain,77.38,88,75,18.41
170,Araouane,ML,2022-04-01 01:27:22,18.9048,-3.5265,Clouds,79.68,17,98,9.78
171,Sitka,US,2022-04-01 01:27:22,57.0531,-135.33,Clouds,46.29,61,100,8.05
172,Corowa,AU,2022-04-01 01:27:23,-36.0333,146.3833,Clouds,70.57,48,15,10.8
173,Port Elizabeth,ZA,2022-04-01 01:27:23,-33.918,25.5701,Clouds,65.32,80,100,13.8
174,Pevek,RU,2022-04-01 01:27:23,69.7008,170.3133,Clouds,-12.21,92,58,4.23
175,Flinders,AU,2022-04-01 01:27:23,-34.5833,150.8552,Rain,62.19,87,100,13.0
