City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Kruisfontein,ZA,2022-03-29 17:22:38,-34.0033,24.7314,66.88,86,89,6.44
123,Linares,CL,2022-03-29 17:22:38,-35.85,-71.6,70.25,24,5,15.55
124,Inuvik,CA,2022-03-29 17:22:39,68.3499,-133.7218,-4.94,59,0,5.75
125,Grenaa,DK,2022-03-29 17:22:39,56.4158,10.8783,43.02,66,65,7.83
126,Hami,CN,2022-03-29 17:14:42,42.8,93.45,49.64,24,89,14.54
127,Dingle,PH,2022-03-29 17:22:39,10.9995,122.6711,77.52,83,86,7.81
128,Karratha,AU,2022-03-29 17:22:40,-20.7377,116.8463,84.25,67,92,4.94
129,Alta Floresta,BR,2022-03-29 17:22:40,-9.8756,-56.0861,87.62,74,75,8.05
130,Konstantinovka,RU,2022-03-29 17:22:40,49.6167,127.9833,20.75,79,7,10.92
131,Laguna,US,2022-03-29 17:18:59,38.421,-121.4238,62.08,90,75,3.0
132,Sigli,ID,2022-03-29 17:22:40,5.3848,95.9609,79.97,83,31,4.56
133,Ponta Delgada,PT,2022-03-29 17:19:55,37.7333,-25.6667,61.52,94,75,8.05
134,Acapulco,MX,2022-03-29 17:21:17,16.8634,-99.8901,84.02,39,0,3.44
135,Coquimbo,CL,2022-03-29 17:09:56,-29.9533,-71.3436,65.93,68,0,12.66
136,Mingguang,CN,2022-03-29 17:22:41,32.7802,117.9638,55.76,89,15,5.48
137,Saint-Philippe,RE,2022-03-29 17:22:41,-21.3585,55.7679,76.59,86,100,7.92
138,Chokurdakh,RU,2022-03-29 17:14:39,70.6333,147.9167,-18.38,94,7,2.13
139,Namibe,AO,2022-03-29 17:23:41,-15.1961,12.1522,73.08,71,98,17.36
140,Pavlovka,RU,2022-03-29 17:23:42,52.6897,47.1405,34.93,91,100,13.13
141,Cherskiy,RU,2022-03-29 17:23:42,68.75,161.3,-6.72,86,99,2.51
142,Dzerzhinsk,RU,2022-03-29 17:23:42,56.2389,43.4631,26.42,59,20,4.47
143,Ust-Maya,RU,2022-03-29 17:23:42,60.4167,134.5333,16.74,93,100,4.85
144,Mujiayingzi,CN,2022-03-29 17:23:43,42.1167,118.7833,32.79,83,96,8.52
145,Longhua,CN,2022-03-29 17:23:43,23.6137,114.1919,67.33,91,100,1.03
146,Norman Wells,CA,2022-03-29 17:23:43,65.282,-126.8329,3.24,72,100,4.61
147,Guerrero Negro,MX,2022-03-29 17:23:43,27.9769,-114.0611,66.18,62,1,16.82
148,Santiago De Cao,PE,2022-03-29 17:23:44,-7.9589,-79.2392,71.73,78,98,10.36
149,Roma,US,2022-03-29 17:23:44,43.2128,-75.4557,30.51,41,0,21.85
150,Atikokan,CA,2022-03-29 17:23:44,48.7555,-91.6216,34.57,71,94,11.59
151,Zhaodong,CN,2022-03-29 17:23:44,46.0833,125.9833,28.17,45,39,7.4
152,Longyearbyen,SJ,2022-03-29 17:14:44,78.2186,15.6401,15.64,53,0,16.11
153,Yumen,CN,2022-03-29 17:23:45,40.2833,97.2,41.61,24,65,4.61
154,Richards Bay,ZA,2022-03-29 17:23:45,-28.783,32.0377,75.06,75,0,17.18
155,Piacabucu,BR,2022-03-29 17:23:45,-10.4056,-36.4344,85.17,62,16,9.4
156,Tias,ES,2022-03-29 17:23:46,28.9611,-13.645,69.48,56,40,11.5
157,Taywarah,AF,2022-03-29 17:23:46,33.35,64.4167,41.38,35,0,7.43
158,Qaqortoq,GL,2022-03-29 17:23:46,60.7167,-46.0333,33.26,63,35,4.07
159,Gamboula,CF,2022-03-29 17:23:46,4.1178,15.1393,87.46,24,9,1.39
160,Lazaro Cardenas,MX,2022-03-29 17:23:47,17.9583,-102.2,82.67,44,4,6.02
161,Ribeira Grande,PT,2022-03-29 17:23:47,38.5167,-28.7,68.4,77,40,8.05
162,Gizo,SB,2022-03-29 17:23:47,-8.103,156.8419,82.67,76,99,5.55
163,Thompson,CA,2022-03-29 17:20:42,55.7435,-97.8558,23.16,80,100,8.05
164,Namatanai,PG,2022-03-29 17:23:47,-3.6667,152.4333,80.55,79,68,8.41
165,Byron Bay,AU,2022-03-29 17:23:48,-28.65,153.6167,67.95,91,100,17.4
166,Channel-Port Aux Basques,CA,2022-03-29 17:23:48,47.5702,-59.1367,32.61,85,98,19.1
167,Juegang,CN,2022-03-29 17:23:48,32.3174,121.1855,54.91,95,99,8.08
168,Talnakh,RU,2022-03-29 17:23:48,69.4865,88.3972,17.58,94,100,12.37
169,Vicosa Do Ceara,BR,2022-03-29 17:23:49,-3.5622,-41.0922,78.49,67,100,5.91
170,Kifri,IQ,2022-03-29 17:23:49,34.6959,44.9661,62.04,34,24,11.39
171,Arraial Do Cabo,BR,2022-03-29 17:23:49,-22.9661,-42.0278,78.76,83,75,10.36
172,Half Moon Bay,US,2022-03-29 17:23:49,37.4636,-122.4286,60.06,85,100,9.22
173,Kavieng,PG,2022-03-29 17:23:50,-2.5744,150.7967,81.79,77,24,6.22
174,Gravdal,NO,2022-03-29 17:23:50,68.1214,13.5031,31.62,62,98,21.3
175,Harper,LR,2022-03-29 17:23:50,4.375,-7.7169,83.71,75,63,10.47
176,Uruzgan,AF,2022-03-29 17:23:50,32.8333,66.0,60.51,18,0,4.38
177,Chino,US,2022-03-29 17:23:51,34.0122,-117.6889,61.61,79,75,9.22
178,Dali,CN,2022-03-29 17:23:51,25.7,100.1833,54.12,76,26,5.21
179,Pangnirtung,CA,2022-03-29 17:23:51,66.1451,-65.7125,19.4,73,100,3.44
180,Hilo,US,2022-03-29 17:14:39,19.7297,-155.09,69.24,78,40,5.75
181,Kununurra,AU,2022-03-29 17:23:52,-15.7667,128.7333,76.98,83,71,1.14
182,Mindelo,CV,2022-03-29 17:23:52,16.8901,-24.9804,74.75,57,20,28.77
183,Sarakhs,IR,2022-03-29 17:23:52,36.5449,61.1577,51.94,40,0,0.0
184,Vaitape,PF,2022-03-29 17:23:53,-16.5167,-151.75,81.79,75,22,17.85
185,Plettenberg Bay,ZA,2022-03-29 17:24:53,-34.0527,23.3716,65.16,89,83,5.44
186,Dubbo,AU,2022-03-29 17:24:53,-32.25,148.6167,60.93,100,40,8.05
187,Lagoa,PT,2022-03-29 17:24:53,39.05,-27.9833,60.39,94,74,12.82
188,Vanimo,PG,2022-03-29 17:24:54,-2.6741,141.3028,76.39,93,100,8.77
189,Constitucion,CL,2022-03-29 17:24:54,-35.3333,-72.4167,64.26,46,0,18.39
190,Washington,US,2022-03-29 17:24:53,47.5001,-120.5015,52.75,64,30,2.51
191,Karanja,IN,2022-03-29 17:24:54,20.4833,77.4833,89.28,14,2,5.73
192,Souillac,MU,2022-03-29 17:24:54,-20.5167,57.5167,80.98,74,40,6.91
193,Chicama,PE,2022-03-29 17:24:55,-7.8447,-79.1469,70.34,62,96,9.55
194,Czestochowa,PL,2022-03-29 17:24:55,50.7965,19.1241,51.08,57,100,7.16
195,Lavrentiya,RU,2022-03-29 17:16:28,65.5833,-171.0,-8.84,93,29,6.76
196,Taranagar,IN,2022-03-29 17:24:55,28.6709,75.0351,87.75,9,0,6.24
197,Paamiut,GL,2022-03-29 17:24:56,61.994,-49.6678,30.78,66,2,1.19
198,Caravelas,BR,2022-03-29 17:24:56,-17.7125,-39.2481,84.94,58,9,8.52
199,Bairiki,KI,2022-03-29 17:24:56,1.3292,172.9752,78.8,83,20,1.14
200,Upernavik,GL,2022-03-29 17:24:56,72.7868,-56.1549,23.22,78,72,3.02
201,Khatanga,RU,2022-03-29 17:24:57,71.9667,102.5,-27.2,100,24,3.0
202,Lucapa,AO,2022-03-29 17:24:57,-8.4192,20.7447,69.48,91,99,2.73
203,Schleiden,DE,2022-03-29 17:24:57,50.5295,6.477,54.41,77,100,5.32
204,Tazovskiy,RU,2022-03-29 17:24:57,67.4667,78.7,28.56,92,100,13.56
205,Mackay,AU,2022-03-29 17:24:58,-21.15,149.2,69.78,83,0,6.91
206,Calabozo,VE,2022-03-29 17:24:58,8.9242,-67.4293,93.38,33,88,10.16
207,Whitianga,NZ,2022-03-29 17:24:58,-36.8333,175.7,62.42,91,25,6.53
208,Hasilpur,PK,2022-03-29 17:24:59,29.7122,72.5553,84.76,8,0,8.72
209,Semey,KZ,2022-03-29 17:24:59,50.4111,80.2275,36.18,76,100,16.2
210,Boditi,ET,2022-03-29 17:24:59,6.9667,37.8667,66.16,32,32,7.67
211,Poum,NC,2022-03-29 17:24:59,-20.2333,164.0167,81.14,83,98,20.04
212,Vila Velha,BR,2022-03-29 17:25:00,-20.3297,-40.2925,87.75,75,40,12.66
213,Wattegama,LK,2022-03-29 17:25:00,6.7989,81.4808,75.72,94,40,3.36
214,Asau,RO,2022-03-29 17:25:00,46.4333,26.4,56.95,37,54,5.59
215,Bethel,US,2022-03-29 17:25:00,41.3712,-73.414,37.15,44,40,11.5
216,Avera,US,2022-03-29 17:25:01,33.194,-82.5271,65.71,39,95,8.23
217,Lompoc,US,2022-03-29 17:25:01,34.6391,-120.4579,61.84,81,40,14.97
218,Richmond,US,2022-03-29 17:23:07,37.5538,-77.4603,45.32,29,75,10.36
219,Mezhdurechensk,RU,2022-03-29 17:25:01,53.6942,88.0603,22.51,97,67,3.49
220,Flin Flon,CA,2022-03-29 17:25:02,54.7682,-101.865,24.64,74,100,5.75
221,Kielce,PL,2022-03-29 17:25:02,50.8703,20.6275,49.8,1,100,7.34
222,Berlevag,NO,2022-03-29 17:25:03,70.8578,29.0864,28.35,80,100,27.63
223,Kaliwungu,ID,2022-03-29 17:25:03,-6.9615,110.2531,82.35,78,81,2.3
224,Maniitsoq,GL,2022-03-29 17:25:03,65.4167,-52.9,27.86,84,95,10.98
225,Bossier City,US,2022-03-29 17:24:11,32.516,-93.7321,77.99,63,100,16.11
226,Ingham,US,2022-03-29 17:25:04,42.6,-84.3833,37.17,37,0,8.05
227,Ancud,CL,2022-03-29 17:25:04,-41.8697,-73.8203,53.22,53,5,14.56
228,Fortuna,US,2022-03-29 17:16:32,40.5982,-124.1573,51.93,94,100,6.91
229,Tuatapere,NZ,2022-03-29 17:25:05,-46.1333,167.6833,52.54,94,6,2.95
230,Mount Isa,AU,2022-03-29 17:25:05,-20.7333,139.5,74.97,29,2,6.91
231,Mogadishu,SO,2022-03-29 17:25:05,2.0371,45.3438,81.19,77,33,19.33
232,Odweyne,SO,2022-03-29 17:26:06,9.4092,45.064,72.64,30,65,17.78
233,Bambanglipuro,ID,2022-03-29 17:26:06,-7.95,110.2833,77.56,87,95,2.53
234,Babaeski,TR,2022-03-29 17:26:06,41.4325,27.0931,53.44,70,73,12.59
235,Alice Springs,AU,2022-03-29 17:24:02,-23.7,133.8833,69.22,32,23,4.61
236,Pavlogradka,RU,2022-03-29 17:26:07,54.2024,73.5592,33.51,97,100,12.73
237,Pimentel,PE,2022-03-29 17:26:07,-6.8367,-79.9342,80.89,57,0,11.5
238,Chase,CA,2022-03-29 17:26:07,50.8165,-119.6857,42.33,67,38,1.63
239,Vila Franca Do Campo,PT,2022-03-29 17:26:07,37.7167,-25.4333,61.21,94,98,7.25
